T1		T2		T3		T4		T5		T6		T7		T8	
199.1	Building Area	248.9	Computer	315.2	Computer									813.3	Computer
464.7	Building Area	248.9	Computer	481.4	Computer									663.9	Computer
116.2	Building Area	680.7	Computer	398.2	Computer									82.9	Computer
514.4	Building Area	265.6	Computer	99.5	Computer									99.3	Computer
199.2	Building Blocks	215.8	Computer	547.8	Computer									414.7	Computer
132.8	Building Blocks	597.4	Computer	149.2	White Space									298.8	Computer
149.4	Building Blocks	431.5	Computer	348.5	Computer									414.9	Computer
116.1	Building Area	547.6	Computer											415	Computer
581	Building Area	116.2	Computer											1311.1	Computer
448	Building Blocks	199.1	Computer											99.4	Computer
863	Building Area	182.6	White Space											182.4	White Space
99.6	Building Blocks	331.9	Computer											116	White Space
232.3	Building Blocks														
1344.2	Building Area														
448.1	Building Blocks														
132.7	Building Blocks														
730.3	Building Area														
282	Building Blocks														
83.2	Building Blocks														
398.6	Building Area														
481.3	Building Area														
83	Building Blocks														
182.5	Building Blocks														
663.9	Building Area														
199.1	Building Blocks														
149.3	Building Area														
630.6	Building Area														
249.2	Building Blocks														
165.8	Building Area														
1078.6	Building Area														
215.6	Building Area														
232.4	Building Area														
630.5	Building Area														
730.2	Building Area														
248.8	Building Area														
116.2	Computer														
149.4	Computer														
381.7	Computer														
365.1	Computer														
348.2	Computer														
299	Computer														
315.4	Computer														
414.7	Computer														
331.9	Computer														
780	Computer														
99.6	Computer														
547.6	Computer														
199.2	White Space														
281.9	Computer														
															
															
															
															
															
