T1		T2		T3		T4		T5		T6		T7		T8	
365.4	Computer	215.6	Building Blocks	132.5	Computer	182.5	Building Blocks	465	Building Blocks	315.5	Computer	115.7	Building Area	331.7	Building Area
299	Building Blocks	182.5	Computer	115.9	Building Blocks	365	Building Area	116.2	Computer	166	Building Blocks	431.7	Building Area	315.3	Building Area
82.8	Computer	116	Building Area	149.8	Building Blocks	265.5	Building Area	265.6	Computer	165.7	Building Blocks	282.2	Building Area	580.7	Building Area
149.1	Computer	115.8	Building Area	331.8	Building Blocks	365.1	Building Area	265.3	Building Area	132.1	Building Blocks	580.6	Building Area	647.7	Building Area
249.1	Computer	863	Building Area	83	Building Blocks	116.2	Building Area	199.3	Building Area	149.4	Building Blocks	780.3	Building Area	514.5	Building Area
182.8	Computer	99.6	Computer	66.2	Building Blocks	249	Building Area	531.4	Building Area	514.5	Building Blocks	746.3	Building Area	83.1	Building Area
216	Computer	166.1	Computer	116.3	Building Blocks	100	Building Blocks	464.6	Building Area	132.8	Building Blocks	249.2	Building Area	232.4	Building Area
564.5	Building Area	66.4	Computer	365.1	Building Blocks	66.6	Building Blocks	365.1	Building Area	116.1	Building Blocks	647.1	Building Area	83	Computer
199.4	Building Area	215.4	Computer	116.2	Building Area	165.5	Building Blocks	779.5	Building Area	165.7	Computer	182.6	Computer	381.6	Computer
896.1	Building Area	249	Computer	149.4	Building Area	182.9	Computer	115.8	Building Area	348.8	Building Area	215.9	Computer	232.4	Computer
381.8	Building Area	116.2	Computer	531.6	Building Blocks	597.5	Computer	2008.4	Building Area	149.2	Building Area	116	Computer	116.1	Computer
1294.2	Building Area	116.2	Building Blocks	132.6	Building Blocks	165.7	Computer	83	Computer	2605.1	Building Area	232.7	Computer	149.2	Building Blocks
99.5	Computer	215.7	Building Blocks	182.4	Building Blocks	182.8	Building Blocks	149.6	Computer	116.2	Computer	133.1	Building Blocks	149.7	Building Blocks
248.6	Computer	265.5	Building Blocks	199.3	Building Blocks	232.2	Building Blocks	182.5	Computer	182.6	Computer	248.9	Building Blocks	166.1	Building Blocks
315.3	Computer	182.2	Building Blocks	133	Building Blocks	116.2	Building Blocks	298.8	Computer	132.8	Computer	282.3	Building Blocks	481.3	Building Blocks
331.9	Computer	116.5	Computer	182.6	Building Area	132.7	Building Blocks	149.2	Computer	215.7	Computer	182.3	Building Blocks	215.5	Building Blocks
613.5	Computer	249.1	Computer	166.3	Computer	132.8	Building Blocks	116.2	Building Blocks	99.7	Computer	464.5	Building Blocks	265.5	Building Blocks
83	Building Blocks	299.2	Building Area	232.7	Computer	331.9	Building Blocks	198.7	Building Blocks	149.4	Building Blocks	99.8	Building Area	199.3	Building Blocks
365.1	Building Blocks	232.6	Building Area	381.7	Computer	348.5	Building Blocks	315.3	Building Blocks	82.4	Building Blocks	398.3	Building Area	83.2	Building Blocks
414.6	Building Blocks	713.4	Building Area	298.6	Computer	83	Building Blocks	216.1	Building Blocks	199.1	Building Blocks	315.4	Building Area	447.7	Building Area
